@relation 'TT-weka.filters.unsupervised.attribute.Remove-R1-11,13-14,16-20,22-23,25-28,30-33,35-39,41-71,73-86'

@attribute f12 numeric
@attribute f15 numeric
@attribute f21 numeric
@attribute rubine_ShuZhe numeric
@attribute rubine_Gou numeric
@attribute rubine_Shu numeric
@attribute long_ShuZhe numeric
@attribute dollar_ShuZhe numeric
@attribute class {HengZheTi,ShuZhe,ShuZheZheGou,Heng,Ti,HengGou,Gou,HengZhe,ShuWanGou,HengZheWanGou,Dian,Shu,HengPie,Wan,Pie,Na}

@data
2.468223,4.356496,5.289078,0.766668,0.588393,0.567506,0.639929,0.161322,HengPie
2.254188,2.540546,5.013495,0.814129,0.799575,0.688262,0.804203,0.127689,HengPie
2.521343,2.661302,5.618095,0.765933,0.592445,0.557398,0.773785,0.37472,HengPie
2.641785,2.5038,5.578258,0.814417,0.426841,0.519718,0.797457,0.50289,HengPie
2.55359,2.566153,5.386786,0.805606,0.556008,0.567088,0.792814,0.385691,HengPie
2.545394,2.491976,5.357454,0.845749,0.544733,0.583413,0.820398,0.436568,HengPie
1.734725,1.168144,5.02369,0.772228,0.451481,1,0.674189,0.366312,Wan
1.82812,1.218587,5.210124,0.780054,0.652312,0.970622,0.794095,0.405241,Wan
1.892547,1.332741,5.231424,0.741218,0.723162,0.888124,0.753167,0.369124,Wan
2.007088,1.22404,5.333175,0.619295,0.913252,0.79354,0.609198,0.220902,Wan
1.982893,1.405579,5.455981,0.787989,0.76356,0.843984,0.86608,0.385395,Wan
2.061144,1.43333,5.273574,0.712752,0.869107,0.761327,0.78127,0.289432,Wan
1.94013,1.197411,5.027069,0.672493,0.837283,0.830351,0.64865,0.370755,Wan
1.978752,1.139654,4.953245,0.6358,0.909406,0.804185,0.600066,0.305461,Wan
1.764008,1.097341,5.025263,0.720638,0.618247,1,0.609277,0.293815,Wan
1.839711,1.143834,4.990822,0.73632,0.72693,0.938635,0.652212,0.38538,Wan
1.860978,1.140083,5.110467,0.740166,0.722272,0.943212,0.66732,0.221106,Wan
2.068285,1.298509,5.352268,0.587458,0.982576,0.724936,0.62575,0.151245,Wan
1.753907,1.128101,5.027563,0.781518,0.436165,1,0.700098,0.344877,Wan
1.752445,1.147663,5.083486,0.688814,0.620305,1,0.617647,0.284391,Wan
2.010988,1.23445,5.204264,0.609001,0.920477,0.762919,0.606536,0.260526,Wan
1.870328,1.249553,5.136116,0.794022,0.662509,0.925058,0.796312,0.382414,Wan
1.910089,1.23068,5.13955,0.70222,0.797151,0.859366,0.7089,0.29088,Wan
2.058088,1.16449,5.003611,0.515511,1,0.69818,0.53817,0.108639,Wan
1.945343,1.440542,5.301147,0.76094,0.743488,0.843213,0.811565,0.390673,Wan
1.871517,1.189148,5.249191,0.727144,0.746676,0.922753,0.715169,0.387713,Wan
2.68349,1.036539,5.524603,0.120263,0.891533,0.255752,0.232735,0.049896,Pie
